,Unnamed: 0,description,food_class,food_category,serving_size,serving_size_unit,calories_serving_size,calories_100g,calories_unit,protein_serving_size,protein_100g,protein_unit,fat_serving_size,fat_100g,fat_unit,sugar_serving_size,sugar_100g,sugar_unit,sodium_serving_size,sodium_100g,sodium_unit,cholesterol_serving_size,cholesterol_100g,cholesterol_unit,carbohydrates_serving_size,carbohydrates_100g,carbohydrates_unit,fiber_serving_size,fiber_100g,fiber_unit,protein_calories,fat_calories,carb_calories
42,0,Rice milk,Survey,Milk substitutes,100,g,,47.0,kcal,,0.28,g,,0.313,g,,5.28,g,,39.0,mg,,0.0,mg,,9.17,g,,0.3,g,1.12,2.817,36.68
43,0,Coconut milk,Survey,Milk substitutes,100,g,,31.0,kcal,,0.21,g,,0.0,g,,2.5,g,,19.0,mg,,0.0,mg,,2.92,g,,0.0,g,0.84,0.0,11.68
44,0,"Yogurt, NFS",Survey,"Yogurt, regular",100,g,,63.0,kcal,,5.25,g,,0.044,g,,7.04,g,,70.0,mg,,6.0,mg,,7.04,g,,0.0,g,21.0,0.3959999999999999,28.16
45,0,"Yogurt, Greek, NS as to type of milk or flavor",Survey,"Yogurt, Greek",100,g,,73.0,kcal,,9.95,g,,0.076,g,,3.56,g,,34.0,mg,,10.0,mg,,3.94,g,,0.0,g,39.8,0.6839999999999999,15.76
46,0,"Yogurt, NS as to type of milk or flavor",Survey,"Yogurt, regular",100,g,,63.0,kcal,,5.25,g,,0.044,g,,7.04,g,,70.0,mg,,6.0,mg,,7.04,g,,0.0,g,21.0,0.3959999999999999,28.16
47,0,"Yogurt, NS as to type of milk, plain",Survey,"Yogurt, regular",100,g,,63.0,kcal,,5.25,g,,0.044,g,,7.04,g,,70.0,mg,,6.0,mg,,7.04,g,,0.0,g,21.0,0.3959999999999999,28.16
48,0,"Yogurt, whole milk, plain",Survey,"Yogurt, regular",100,g,,61.0,kcal,,3.47,g,,0.092,g,,4.66,g,,46.0,mg,,13.0,mg,,4.66,g,,0.0,g,13.88,0.828,18.64
49,0,"Yogurt, low fat milk, plain",Survey,"Yogurt, regular",100,g,,63.0,kcal,,5.25,g,,0.044,g,,7.04,g,,70.0,mg,,6.0,mg,,7.04,g,,0.0,g,21.0,0.3959999999999999,28.16
50,0,"Yogurt, nonfat milk, plain",Survey,"Yogurt, regular",100,g,,56.0,kcal,,5.73,g,,0.005,g,,7.68,g,,77.0,mg,,2.0,mg,,7.68,g,,0.0,g,22.92,0.045,30.72
51,0,"Yogurt, Greek, NS as to type of milk, plain",Survey,"Yogurt, Greek",100,g,,73.0,kcal,,9.95,g,,0.076,g,,3.56,g,,34.0,mg,,10.0,mg,,3.94,g,,0.0,g,39.8,0.6839999999999999,15.76
52,0,"Yogurt, Greek, whole milk, plain",Survey,"Yogurt, Greek",100,g,,97.0,kcal,,9.0,g,,0.469,g,,4.0,g,,35.0,mg,,13.0,mg,,3.98,g,,0.0,g,36.0,4.221,15.92
53,0,"Yogurt, Greek, low fat milk, plain",Survey,"Yogurt, Greek",100,g,,73.0,kcal,,9.95,g,,0.076,g,,3.56,g,,34.0,mg,,10.0,mg,,3.94,g,,0.0,g,39.8,0.6839999999999999,15.76
54,0,"Yogurt, Greek, nonfat milk, plain",Survey,"Yogurt, Greek",100,g,,61.0,kcal,,10.3,g,,0.011,g,,3.27,g,,36.0,mg,,5.0,mg,,3.64,g,,0.0,g,41.2,0.0989999999999999,14.56
55,0,"Yogurt, NS as to type of milk, fruit",Survey,"Yogurt, regular",100,g,,89.0,kcal,,4.66,g,,0.039,g,,12.0,g,,65.0,mg,,5.0,mg,,14.5,g,,0.1,g,18.64,0.351,58.0
56,0,"Yogurt, whole milk, fruit",Survey,"Yogurt, regular",100,g,,87.0,kcal,,3.1,g,,0.081,g,,9.92,g,,44.0,mg,,11.0,mg,,12.4,g,,0.1,g,12.4,0.729,49.6
